"","year","ward","cost","category","program","description"
"11215",2017,18,89098.88,"Streets & Transportation","Street Resurfacing Menu (1-5) ","ON S KILBOURN AVE FROM W 77TH PL (7710 S) TO W 79TH ST (7900 S)"
"11216",2017,18,47170.78,"Streets & Transportation","Street Resurfacing Menu (1-5) ","ON S WHIPPLE ST FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)"
"11217",2017,18,50859.8,"Streets & Transportation","Street Resurfacing Menu (1-5) ","ON S CAMPBELL AVE FROM W 81ST ST (8100 S) TO W 82ND ST (8200 S)"
"11218",2017,18,48429.16,"Streets & Transportation","Street Resurfacing Menu (1-5) ","ON S SEELEY AVE FROM W 85TH ST (8500 S) TO W 86TH ST (8600 S)"
"11219",2017,18,46967.51,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(3900 W)"
"11220",2017,18,33765.84,"Streets & Transportation","Street Resurfacing Menu ","ON S OAKLEY AVE FROM W 74TH ST (7400 S) TO W 75TH ST (7500 S)"
"11221",2017,18,28712.73,"Streets & Transportation","Street Resurfacing Menu ","(2100 W)"
"11222",2017,18,19274.67,"Streets & Transportation","Street Resurfacing Menu ","ON S ST LOUIS AVE FROM W 80TH ST (8000 S) TO W 81ST ST (8100 S)"
"11223",2017,18,49628.89,"Streets & Transportation","Street Resurfacing Menu ","ON S MOZART ST FROM W 71ST ST (7100 S) TO W 72ND ST (7200 S)"
"11224",2017,18,52969.82,"Streets & Transportation","Street Resurfacing Menu ","ON S KOLIN AVE FROM W 83RD ST (8300 S) TO W 84TH ST (8400 S)"
"11225",2017,18,48343.04,"Streets & Transportation","Street Resurfacing Menu ","AVE (2800 W)"
"11226",2017,18,52086.46,"Streets & Transportation","Street Resurfacing Menu ","ON S SAWYER AVE FROM W 82ND ST (8200 S) TO W 83RD ST (8300 S)"
"11227",2017,18,109128.65,"Streets & Transportation","Street Resurfacing Menu ","ON S KARLOV AVE FROM W 79TH ST (7870 S) TO W 80TH ST (8000 S)"
"11228",2017,18,50573.55,"Streets & Transportation","Street Resurfacing Menu ","ON S KEATING AVE FROM W 81ST ST (8100 S) TO W 82ND ST (8200 S)"
"11229",2017,18,51930.24,"Streets & Transportation","Street Resurfacing Menu ","ON S MOZART ST FROM W 79TH ST (7900 S) TO W 80TH ST (8000 S)"
"11230",2017,18,65885.34,"Streets & Transportation","Street Resurfacing Menu ","ON S KILDARE AVE FROM W 83RD ST (8300 S) TO W 84TH ST (8400 S)"
"11231",2017,18,3700,"Streets & Transportation","Street Speed Hump Menu ","(3800 W)"
"11232",2017,18,3700,"Streets & Transportation","Street Speed Hump Menu ","(4000 W)"
"11233",2017,18,7595.47,"Beautification","Viaduct Improvement Menu ","W 79TH ST & S KEDZIE AVE"
"11234",2017,19,12601.28,"Streets & Transportation","Alley Apron Menu ","1519 W 105TH ST"
"11235",2017,19,10341.67,"Streets & Transportation","Curb & Gutter Menu ","W 116TH ST & S ST LOUIS AVE"
"11236",2017,19,10378.67,"Streets & Transportation","Curb & Gutter Menu ","S CAMPBELL AVE & W 112TH ST"
"11237",2017,19,29923.79,"Streets & Transportation","Curb & Gutter Menu ","ON W 98TH ST FROM S HOYNE AVE (2100 W) TO S SEELEY AVE (2030 W)"
"11238",2017,19,8000,"Beautification","50/50 Neighborhood Arts Project","$8,000.00"
"11239",2017,19,55432.35,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(10600 S)"
"11240",2017,19,83066.69,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(3630 W)"
"11241",2017,19,29029.24,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(2530 W)"
"11242",2017,19,34067.08,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(2600 W)"
"11243",2017,19,49585.87,"Streets & Transportation","Street Resurfacing Menu (1-5) ","(10100 S)"
"11244",2017,19,147641.63,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11245",2017,19,126205.73,"Streets & Transportation","Street Resurfacing Menu ","ON S TROY ST FROM W 109TH ST (10900 S) TO W 111TH ST (11100 S)"
"11246",2017,19,31705.91,"Streets & Transportation","Street Resurfacing Menu ","ON S RIDGEWAY AVE FROM 10600 S TO W 107TH ST (10700 S)"
"11247",2017,19,39841,"Streets & Transportation","Street Resurfacing Menu ","ON S OAKLEY BLVD FROM W 99TH ST (9900 S) TO W 100TH ST (10000 S)"
"11248",2017,19,52688.78,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11249",2017,19,131405.39,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11250",2017,19,55259.77,"Streets & Transportation","Street Resurfacing Menu ","ON S BELL AVE FROM W 106TH ST (10600 S) TO W 107TH ST (10700 S)"
"11251",2017,19,33625.6,"Streets & Transportation","Street Resurfacing Menu ","ON S DAMEN AVE FROM W 95TH ST (9500 S) TO W 96TH ST (9600 S)"
"11252",2017,19,67042.34,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11253",2017,19,49863.02,"Streets & Transportation","Street Resurfacing Menu ","(11600 S)"
"11254",2017,19,53079.32,"Streets & Transportation","Street Resurfacing Menu ","(10200 S) TO W 103RD ST (10300 S)"
"11255",2017,19,30576.84,"Streets & Transportation","Street Resurfacing Menu ","ON E 98TH ST FROM S DAMEN AVE (2000 W) TO S HOYNE AVE (2100 W)"
"11256",2017,19,59999.77,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11257",2017,19,30248.57,"Streets & Transportation","Street Resurfacing Menu ","(2530 W)"
"11258",2017,19,20148.15,"Streets & Transportation","Street Resurfacing Menu ","W 104TH PL & S MAPLEWOOD AVE"
"11259",2017,19,40988.07,"Streets & Transportation","Street Resurfacing Menu ","S)"
"11260",2017,19,1895.96,"Streets & Transportation","Street Resurfacing Menu (2018)","(10400 S)"
"11261",2017,19,9121.47,"Streets & Transportation","Street Resurfacing Menu (2018)","W)"
"11262",2017,19,12392.56,"Streets & Transportation","Street Resurfacing Menu (2018)","ON S LEAVITT ST FROM W 93RD ST (9300 S) TO W 92ND PL (9240 S)"
"11263",2017,19,3700,"Streets & Transportation","Street Speed Hump Menu ","W)"
"11264",2017,20,14490,"Streets & Transportation","ADA - Street Resurfacing Menu ","(500 W)"
"11265",2017,20,23037.95,"Streets & Transportation","Alley Resurfacing Menu ","W 53RD ST & S PEORIA ST&W 53RD PL & S HALSTED ST"
"11266",2017,20,40064.84,"Streets & Transportation","Alley Resurfacing Menu ","S KIMBARK AVE & E 61ST ST&S WOODLAWN AVE & E 62ND ST"
"11267",2017,20,28259.81,"Streets & Transportation","Alley Resurfacing Menu ","700 W 49TH PL:729 W 49TH PL"
"11268",2017,20,8910.66,"Streets & Transportation","Curb & Gutter Menu ","6152-6158 S EBERHART AVE"
"11269",2017,20,7175.51,"Streets & Transportation","Curb & Gutter Menu ","5026 S ADA ST"
"11270",2017,20,600,"Streets & Transportation","In-Road State Law Stop For Pedestrians Signs","S HALSTED ST & W 52ND ST"
"11271",2017,20,138000,"Beautification","Art Projects","6500 S DORCHESTER AVE"
"11272",2017,20,10149.86,"Streets & Transportation","Pedestrian Refuge Island Menu ","S LOWE AVE & W 63RD ST"
"11273",2017,20,52636.86,"Streets & Transportation","Sidewalk Menu ","ON E 59TH ST FROM S MICHIGAN AVE (100 E) TO S WABASH AVE (50 E)"
"11274",2017,20,28851.52,"Streets & Transportation","Sidewalk Menu ","ON S DORCHESTER AVE FROM E 61ST ST (6100 S) TO E 62ND ST (6200 S)"
"11275",2017,20,41323.09,"Streets & Transportation","Sidewalk Menu ","EBERHART AVE (500 E)"
"11276",2017,20,49157.81,"Streets & Transportation","Sidewalk Menu ","(630 E)"
"11277",2017,20,5200.76,"Streets & Transportation","Sidewalk Menu ","4854 S LAFLIN ST"
"11278",2017,20,85853.83,"Streets & Transportation","Sidewalk Menu ","ON S PEORIA ST FROM W 49TH PL (4940 S) TO W 50TH ST (5000 S)"
"11279",2017,20,16519.7,"Streets & Transportation","Sidewalk Menu ","5500-5510 S LOWE AVE"
"11280",2017,20,39111.68,"Streets & Transportation","Sidewalk Menu ","ON W 56TH ST FROM S GREEN ST (830 W) TO S HALSTED ST (800 W)"
"11281",2017,20,11000,"Streets & Transportation","Sidewalk Menu ","BLACKSTONE AVE (1500 E)"
"11282",2017,20,7193.11,"Streets & Transportation","Sidewalk Menu (2018)","ON S ELIZABETH ST FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S)"
"11283",2017,20,22195.45,"Streets & Transportation","Street Bump Outs Menu ","ON S ABERDEEN ST FROM W 51ST ST (5100 S) TO W 52ND ST (5200 S)"
"11284",2017,20,31251.09,"Streets & Transportation","Street Resurfacing Menu (1-5) ","E)"
"11285",2017,20,15104.77,"Streets & Transportation","Street Resurfacing Menu (1-5) ","W)"
