"","description","costA","costB","ward","program","year","cost"
"81","ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W 6.00 ","1,200.00",NA,"2","Street Light Pole Painting",2012,1200
"82","ON LAKE FROM N ALBANY AV (3100 W) TO N ","6,000.00",NA,"2","Street Light Pole Painting",2012,6000
"83","ON TAYLOR FROM S LOOMIS ST (1400 W) TO S RACINE AV ","7,500.00",NA,"2","Street Light Pole Painting",2012,7500
"84","ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S 20.00 ","6,000.00",NA,"2","Street Light Pole Painting",2012,6000
"85","ON ROOSEVELT FROM S ASHLAND AV (1600 W) TO S ","24,000.00",NA,"2","Street Light Pole Painting",2012,24000
"86","ON CONGRESS FROM S MORGAN ST (1000 W) TO E ","5,700.00",NA,"2","Street Light Pole Painting",2012,5700
"87","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S ","1,500.00",NA,"2","Street Light Pole Painting",2012,1500
"88","ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N ","2,400.00",NA,"2","Street Light Pole Painting",2012,2400
"89","ON S WOOD ST FROM W ROOSEVELT RD (1200 S) TO W 6.00 ","1,200.00",NA,"2","Street Light Pole Painting",2012,1200
"90","ON MONROE FROM S MORGAN ST (1000 W) TO S PEORIA ST ","3,200.00",NA,"2","Street Light Upgrade",2012,3200
"91","ON PAULINA FROM W MADISON ST (0 N) TO W JACKSON ","4,000.00",NA,"2","Street Light Upgrade",2012,4000
"92","ON S WOLCOTT AVE FROM W GRENSHAW ST (1120 S) TO W 6.00 ","2,400.00",NA,"2","Street Light Upgrade",2012,2400
"93","ON ADAMS FROM S LEAVITT ST (2200 W) TO S SEELEY AV ","1,750.00",NA,"2","Street Light Upgrade",2012,1750
"94","ON ROOSEVELT FROM S LOOMIS ST (1400 W) TO S ","6,000.00",NA,"2","Street Light Upgrade",2012,6000
"95","317 S CAMPBELL AVE ","350.00",NA,"2","Street Light Upgrade",2012,350
"96","201 S ASHLAND AVE ","350.00",NA,"2","Street Light Upgrade",2012,350
"97","ON 11 FROM S STATE ST (0 E) TO S MICHIGAN AV (120 E) ","400.00",NA,"2","Street Light Upgrade",2012,400
"98","ON POLK FROM S STATE ST (0 E) TO S FINANCIAL PL (146 ","1,200.00",NA,"2","Street Light Upgrade",2012,1200
"99","ON S HOYNE AVE FROM W CONGRESS PW (500 S) TO W 6.00 ","2,400.00",NA,"2","Street Light Upgrade",2012,2400
"100","ON PAULINA FROM W HARRISON ST (600 S) TO W POLK ST ","4,400.00",NA,"2","Street Light Upgrade",2012,4400
"101","157 S ASHLAND AVE ","350.00",NA,"2","Street Light Upgrade",2012,350
"102","ON S STATE ST FROM W ROOSEVELT RD (1200 S) TO W 15 ST 47.00 ","18,800.00",NA,"2","Street Light Upgrade",2012,18800
"103","ON CANAL FROM W 14 PL (1440 S) TO W ROOSEVELT RD ","14,000.00",NA,"2","Street Light Upgrade",2012,14000
"104","ON ADAMS FROM S MORGAN ST (1000 W) TO S GREEN ST ","3,200.00",NA,"2","Street Light Upgrade",2012,3200
"105","ON HERMITAGE FROM W TAYLOR ST (1000 S) TO W ","3,200.00",NA,"2","Street Light Upgrade",2012,3200
"106","3550 S GILES AVE ","350.00",NA,"2","Street Light Upgrade",2012,350
"107","ON BALBO FROM S STATE ST (0 E) TO S MICHIGAN AV (120 ","1,600.00",NA,"2","Street Light Upgrade",2012,1600
"108","ON GREEN FROM W ADAMS ST (200 S) TO W VAN BUREN ST ","1,600.00",NA,"2","Street Light Upgrade",2012,1600
"109","ON CONGRESS FROM S MORGAN ST (1000 W) TO E ","7,600.00",NA,"2","Street Light Upgrade",2012,7600
"110","ON VAN BUREN FROM S LEAVITT ST (2200 W) TO S SEELEY ","1,750.00",NA,"2","Street Light Upgrade",2012,1750
"111","ON HARRISON FROM S STATE ST (0 E) TO S WABASH AV (44 ","400.00",NA,"2","Street Light Upgrade",2012,400
"112","ON MAYPOLE FROM N OAKLEY BV (2300 W) TO N ","2,000.00",NA,"2","Street Light Upgrade",2012,2000
"113","ON STATE FROM W HARRISON ST (600 S) TO W ROOSEVELT ","18,000.00",NA,"2","Street Light Upgrade",2012,18000
"114","ON S WOOD ST FROM W TAYLOR ST (1000 S) TO W 3.00 ","1,200.00",NA,"2","Street Light Upgrade",2012,1200
"115","ON 24 FROM S STATE ST (0 E) TO S INDIANA AV (200 E) ","4,800.00",NA,"2","Street Light Upgrade",2012,4800
"116","ON HOYNE FROM W MADISON ST (0 N) TO W MONROE ST ","1,400.00",NA,"2","Street Light Upgrade",2012,1400
"117","ON POLK FROM S PAULINA ST (1700 W) TO S DAMEN AV ","6,400.00",NA,"2","Street Light Upgrade",2012,6400
"118","1319 S STATE ST ","21,000.00",NA,"2","Street Light Upgrade",2012,21000
"119","547 S CLARK ST ","350.00",NA,"2","Street Light Upgrade",2012,350
"120","ON LAKE FROM N MOZART ST (2832 W) TO N SACRAMENTO ","8,000.00",NA,"2","Street Light Upgrade",2012,8000
"121","ON W CONGRESS PKWY FROM W OGDEN AV (1875 W) TO S 20.00 ","8,000.00",NA,"2","Street Light Upgrade",2012,8000
"122","ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN ","12,000.00",NA,"2","Street Light Upgrade",2012,12000
"123","ON 32 FROM DR. MARTIN LUTHER KING JR. DR (358 E) TO S ","2,000.00",NA,"2","Street Light Upgrade",2012,2000
"124","ON SEELEY FROM W JACKSON BV (300 S) TO W VAN BUREN ","1,400.00",NA,"2","Street Light Upgrade",2012,1400
"125","ON MONROE FROM S RACINE AV (1200 W) TO S GREEN ST ","5,250.00",NA,"2","Street Light Upgrade",2012,5250
"126","ON VAN BUREN FROM S GREEN ST (832 W) TO W TILDEN ST ","5,600.00",NA,"2","Street Light Upgrade",2012,5600
"127","ON HARRISON FROM S OAKLEY BV (2300 W) TO S DAMEN ","2,400.00",NA,"2","Traffic Equipment",2012,2400
